region,name,blog_title,blog_description,postdate,link,content
광주,파더스베이글 본점,광주광역시 동구 대의동... 빵맛집 ‘파더스베이글’ 본점... ,"자동차키 제작 “광주24시열쇠”입니다 광주광역시 전지역, 전남 일부지역 출장 차키제작 전문업체입니다 필요하시면 언제든지 연락주세요 '파더스베이글‘ -민생회복 소비쿠폰(민생지원금) 사용가능... ",20250830,https://blog.naver.com/carkey-master/223989212782,"자동차키 제작 “광주24시열쇠”입니다
광주광역시 전지역, 전남 일부지역
출장 차키제작 전문업체입니다
필요하시면 언제든지 연락주세요😃
'파더스베이글‘
-민생회복 소비쿠폰(민생지원금) 사용가능
-주소 광주 동구 서석로 87 1층 파더스베이글
-영업시간 11~21시
-주차 주차장 ACC유료주차
-아기의자 ?
-포장 배달 가능
-단체 모임 가능
-문의 전화번호 0507-1410-2289
[메뉴 가격 금액]
베이컨 샌드위치 7,600원
연어샌드위치 9,100원
무화과잠봉샌드위치 8,100원
비프버거샌드위치 8,800원
아보카도 샌드위치 7,400원
천도복숭아샌드위치(계절) 8,400원
생체리크림샌드위치(계절) 7,400원
생무화과잠봉샌드위치(계절) 8,400원
시저샐러드 8,700원
아보카도샐러드 8,700원
리코타치즈샐러드 9,200원
그래놀라요거트 5,400원
무화과크림치즈베이글 6,600원
플레인크림치즈베이글 6,600원
아메리카노 3,000원
광주보다 타지역에서 빵지순례로 많이 오시는 곳인
파더스베이글에 다녀왔습니다
처음 방문해봤는데요
메뉴가 다양했고 세트메뉴가 있어서
가성비로 골라먹기 좋았습니다
혼자오셔서 드시는 분도 있던데
혼자 브런치먹으라 와도 좋을 것 같네요
무화과잠봉샌드위치를 먹었는데
버터랑 무화과랑 잠봉 조합이 넘 좋았습니다
베이글은 선택이 가능해서
올리브베이글로 먹었는데요
생각보다 든든하고 커피랑 쿠키를 함께주는
세트조합도 추천합니다!
자동차키나 스마트키를 분실하시면
언제든지 편하게 연락주세요!!
“광주24시열쇠”가 제작 해드리겠습니다💪🏻
⭐️즐겨찾기 해두시면 도움이 됩니다⭐️"
광주,파더스베이글 본점,"[광주 여행] #2 광주 2박3일 여행 - 518 전야제, ACC... ","파더스베이글 여기저기 분점이 많이 있지만, 이 곳 광주가 바로 본점이라는 사실 친구는... 서남대학교 병원은 2014년 폐쇄하였지만 광주광역시에서 사적지 보존을 위해 매입했다고 한다. 실제로도 계속... ",20250525,https://blog.naver.com/alltoowell13/223876741405,"[광주 여행] #1 광주 2박3일 여행 - 기아챔피언스필드 원정 후기, 광주엔 맛집만 있어
광주를 가게 된 이유는 심플했다. 야구 ⚾️ 야구를 그렇게 오래 봐오면서도 원정 경기는 잘 가질 않았는데...
m.blog.naver.com
광주 2박3일 여행 두번째이야기
오월 광주에 왔습니다.
야구 일정에 맞춰서 광주에 온건데 어떻게 518 주간에 딱 맞춰 광주에 오게 되었다. 이것 또한 운명이겠죠.
금남로에서 열린 518 전야제
택시를 타고 금남로에서 내리자 행사 분위기가 물씬 느껴졌다.
교차로에 위치한 무대에서 다양한 공연이 펼쳐졌고, 인권상을 수상하신 분들의 연설도 있었다.
여러 무대를 보면서 친구들은 눈물을 흘리기도 했다.
올해 45주년이라고 하는데 마음이 숙연해지기도 했지만 정말 민주화항쟁을 기념하는 분위기였다. 또 작년 계엄 이후로 탄핵에 이어 대선 정국까지 이어지는 이런 시기에 광주에 5월 18일에 오게 되다니
역사의 순간에 내가 있구나 라는 생각이 들었다.
금남로에서 518민주광장 쪽으로 이동하고 있는데 갑자기 어느 골목에 사람들이 막 모여있는거예요. 뭐지? 하고 가봤더니
이재명씨가 눈앞에 나타나셨습니다.
덜덜덜 안녕하세요? this diva..
광주에서 사람들의 환호를 들으며 등장할 사람은 몇없긴하다
야구보고 바로 간거라 우리 셋은 모두 유니폼과 야구가방 차림이었는데 아무래도 굉장히 눈에 띄는 조합이었는지.. 광주일보 사진기자님깨서 우리 사진을 찍어가셨다고 한다..
그와중에 습관처럼 브이를 해버리는 바람에 기자님께 이시국에 브이는 안된다며 사진 다시 찍어달라함ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
나중에 다른 기자님이 인터뷰도 따가셨다.. 허허
민주광장 앞에 있은 전일빌딩
현수막을 뉴스에서 여러번 봤었는데 또 바뀌어있더랍니다
투표가 힘입니다
맞아요 투표합시다 여러분
민주광장에 여러 부스가 있었는데, 잎새주 부스에서 택시운전사에 나온 택시와 인증샷을 찍으면 소주를 나눠주신다길래 냉큼 찍어서 받아왔다.
518 민주화운동의 의미를 기념하는 의미에서 17일 18일 주말 양일간 대중교통 무료로 운영.. 이게 광주야
이런 버스가 놓여있어서 또 울음날뻔했다
그리고 매주 경복궁 앞에서 보던 깃발들
대단한 사람들
전야제 구경 하다가 배도 고파지고해서 저녁을 먹으러 갔다.
영미오리탕
광주광역시 북구 경양로 126
그 유명한 영미오리탕을 먹으러 갔습니다..
주말 저녁 7시30분쯤 갔는데 8시 안되어서 들어갈거라고 하시면서 진동벨(?)을 주셨다.
그리고 정말 8시쯤 입장함!
3인기준 오리탕 한마리 주문했습니다.
두근두근
사실 광주에 야구보러가면 영미오리탕을 먹어야된다는 말을 진짜 10년 전부터 들어서 꼭 와야지 와야지 했는데… 10년만에
광주에 오게된것이에요. 흑
그래서 이번 광주여행에 무조건 가야된다 했던 곳 중에 하나였다.
주문하신 오리탕 나왔습니다~
들깨국물 보이시냐고요
저 걸쭉하고 고소한 들깨국물이 정말 미친놈임
블로그 쓰면서도 군침싹도네진짜
미나리를 넣어서 익혀먹으면된다.. 초장이 있는데 초장에 들깨가루 섞어서 소스를 만들어가지고 오리고기랑 익힌 미나리 찍어먹으면 극락으로 가실게요
밥 한공기 시켜서 국물에 말아먹었더니 그것도 진짜로
소주를 부르는 맛.. 아 또 먹고싶다 진짜 제발
오리탕 가게 앞에 걸려있던 오리..
다소 잔인하게 느껴지긴하지만요 하하
광주 마지막날에는 국립아시아문화전당 ACC 에 갔다
국립아시아문화전당
광주광역시 동구 문화전당로 38
국립아시아문화전당 ACC 는 광주 지하철 문화전당역에서 내리면 된다! 민주광장에서 걸어오면 지금은 보수공사 중인 옛전남도청 밖에 안보여서 아니 어디있다는거야? 했는데
옛전남도청 뒤쪽으로 가면 이런 에스컬레이터가 있고
저걸 타고 내려가면
이런 미친 풍경이 펼쳐집니다.
아니 도심 한 가운데에 높은 빌딩이 아니라 이런 건축물이 문화전당으로 존재한다는 것이 너무나도 놀라와 (positive)
어떻게 이런 건축물이 어떻게 이런
진짜 이거를 만든사람 허가해준사람 계획한 사람 디자인한 사람
모두 상 주고 싶었다.. 눈물나게 좋았다
광주갔는데 여기 안가는 사람 바보임
진짜 좋아서 소리지르고 싶어
사실 이미 질렀어요
광주시민들은 복받은게 분명하다
정신못차리고 구경하다가 이왕 온김에 전시를 하나 보기로했다.
여러 전시를 하고 있었는데 그냥 느낌으로 고른 전시는 ‘애호가 편지’
입구에 있던 거대한 미디어월부터 심상치 않았다..
입구 전시 설명에 있던 큐알코드를 스캔하면 이렇게 누구나 전시에 대한 안내를 찾아볼수 있게 해놨더라.. 너무 좋은 세상이야
애호가편지 는 1900년대 초에 팬레터를 일컫는 말이었다고 한다.
이 단어를 테마로 삼아서 트로트와 뽕짝 리듬의 아시아 음악을 매개로 대중음악을 이해해보고자 하는 전시라고..
애호가편지 전시회
우리나라 트로트를 소개하는 걸로 시작해서 조그만 방마다 체험형 전시장을 두어 흥미를 돋우는 재밌는 전시였다.
기대를 안하고 보러갔는데 체험형 부스가 여러곳 있다보니 더 이해도가 높아지고 끝까지 흥미롭게 감상했던 것 같다 ㅎㅎ
시간이 허락했다면 다른 전시도 보고싶었는데 아쉬웠다는..
문화창조원에서 나오면 이렇게 나무 그늘 밑에서 누워 쉴 수 있는 공간이 나옵니더.. 영원히 여기서 바람맞으며 쉬고싶었잖아
노래들으며 낮잠도 자고.. 책도 읽고 쉬고 싶었던 공간
다음에 광주에 온다면 꼭 다시 방문할 ACC !!
점심을 먹으러 가기전에 ACC 바로 앞에 있는 베이글 맛집에서 포장을 했다.
파더스베이글
광주광역시 동구 서석로 87 1층 파더스베이글
파더스베이글 여기저기 분점이 많이 있지만, 이 곳 광주가 바로 본점이라는 사실
친구는 무화과크림치즈 샌드위치를 나는 베이글과 크림치즈를 따로 포장했다. 나중에 집와서 먹었는데 진짜 존맛.. 다음에 꼭 다시 가서 샌드위치 포장해다가 아시아문화전당에 드러누워서 먹을거임
베이글 포장하고 점심 먹으러 향한 곳은
광주보쌈
광주광역시 동구 서석로 29-5 광주보쌈
아시아문화전당 근처이고 도보로 한 10분?도 안걸리는 곳
원래는 고등어쌈밥 먹으러가려고 했는데, 예약으로 꽉 차버렸다해서 차선책으로 보쌈 먹으러감 ㅎㅎ
야선맛집 리스트를 정리해 온 친구덕분에 고민없이 빠르게 갔다.
골목길에 이렇게 노포 같은 가게인데, 웨이팅 있을까 걱정하며 갔는데 빈자리가 있어서 바로 들어감! 쏘 럭키
수육과 김치
공기밥도 두개 시켜서 나눠먹었다
포장주문이 많아서 시간이 좀 걸리긴했는데 맛을 보고 나니 응 그런건 중요하지않아.. 야들야들 왜이렇게 맛있냐고.. 김치도 진짜 ㅋㅋ 왜이렇게 다 맛있나요..
점심도 배불리 먹은 우리는.. 전일빌딩으로 향했다.
전일빌딩 8층 9층 10층에 기념관이 위치해있다.
전일빌딩에서 바라본 민주광장
저 회색 공사중인 곳이 옛도청이고 그 뒤에 나무 가득한 공간이 국립아시아문화전당이다. 다시 봐도 안믿김
친구들은 먼저 서울로 가는 버스를 타서
(사실 내가 늦게 가기로했지만)
전일빌딩에서 애들 먼저 보내고 기념관을 둘러봤다.
기념관에는 518 민주항쟁 당시 전일빌딩이 어떤 존재였고 어떤 의미였으며, 이 곳에 남아있는 탄흔이 왜 중요한지에 대해서 명확히 설명되어있다.
전일빌딩 헬기사격 흔적
하지만 이 탄흔에 대한 조사가 2017년?에서야 이루어졌다는 것에 너무나도 놀랐다. 그 오랜세월동안 대체 뭘한건지. 이 탄흔이 아직까지 남아있어서 얼마나 다행인지.
헬기사격이 있었다는 것은 국과수에서 공식적으로 조사를 통해 인정되었는데, 군용 헬기가 이렇게 국민을 향해 발포를 했다는게 믿기지가 않았다. 사격은 이루어졌는데 발포명령을 한 사람은 아직도 없음
너무 화가나
기념관에 518 당시 타임라인과 말도 안되는 루머와 억측도 사실을 토대로 하나하나 반박해둔 코너가 있었던 것도 좋았다.
전일빌딩 8층에서는 기획전시가 열리고 있었다.
518 당시 증인이 된 외국인들을 기념하는 전시였다.
전시보다가 당시 계엄사령관 경고문 보고 소름이 쫙 돋음
지금 이게 2024년에 현실일수도 있었다는거잖아요
기념관을 모두 둘러보고.. 전일빌딩에서 바라본 금남로
불과 45년전에 이 곳에서 참혹한 일이 벌어졌다는게 너무.. 말로 표현할 수 없을 정도로 가슴이 아팠다. 우리는 정말 광주에 많은 빚을 졌고, 광주에서 무슨일이 있었는지 잊지말아야한다. 더이상 소모적인 이념 논쟁은 없었으면 한다. 아니 없어야 한다.
사실 내 인생드라마 중 하나가 바로 <오월의 청춘> 이다.
광주에 언젠가 꼭 와봐야겠다고 생각한 것도 덕분이다.
하도 여기저기 영업해서 친구들이 오월의 청춘 보게 만들었다.
오월의청춘 안보면 겸상안함 (아님)
오월의 청춘
광주 어디 가볼지 찾아보다가 45주년을 맞아 5월 한달 동안 예전 광주 적십자병원을 개방 전시 한다는 소식을 들었다.
그래서 이 곳도 꼭 가볼 장소로 꼽았던 곳이다.
5.18 광주 민주화 운동 사적지 11호
광주광역시 동구 천변우로 415 서남대학교병원
전일빌딩에서 멀지않고 걸어서 15분 정도 거리에 있다.
생각보다 많은 사람들이 방문하려고 왔더라.. 왠지 마음이 따뜻해졌다
입구에서 부터 명희 생각이 나서 마음이 이상했다..
이 곳은 518 당시 광주적십자병원이었다가 이후에 서남대학교병원으로 개원했던 곳이다. 서남대학교 병원은 2014년 폐쇄하였지만 광주광역시에서 사적지 보존을 위해 매입했다고 한다.
실제로도 계속 병원으로 쓰이던 곳이라 이렇게 병원시설이 그대로 남아있었다.. 내부에서는 그냥 아무말도 할수가 없었다
적십자 병원 뒷뜰 마당에 이런 메세지를 적을 수 있게 해두었더라
야외 마당에 이런 장소가 있었다.
해설사분이 설명해주시기를, 아래 사진에 빨간 안내봉이 있는 곳은 518 민주화운동 당시 희생자들의 시신을 안치하던 영안실이라고 했다. 광주적십자병원은 시내와 가장 가까운 병원 이었기에 사상자들이 제일 먼저 온 병원이 바로 이 곳 이었다고.
영안실에는 9구의 시신만 안치가 가능해서 자리가 부족하자 이 마당에 안치가 되었다고 했다. 소설 <소년이 온다> 앞부분에 동호의 대화에서 나오던 장소도 이 곳이라고 설명해주셨다.
한없이 마음이 무거워졌다.
전일빌딩도 그렇고 역사의 현장이 잘 보존되고 사람들과 그 의미를 배우고 나누고 기념할 수 있게 되어있어서 뜻깊었다.
앞으로도 잊지않고 잘 살아야지
카페인 중독자라서 밥 먹고 커피를 안마셨더니 바로 졸리길래 에스프레소바로 향했다 ㅎㅎ
JB로스터리 동명점
광주광역시 동구 제봉로 124 1층
에쏘에 맛들려서 여행가면 꼭 에쏘바가 있는지 찾아보고 가는 편인데
마침 동명동 근처에 하나가 딱 있길래 바로 갔지요.
유럽갬성난다
원래 테이크아웃을 하려고했는데 에스프레소는 테이크아웃이 안된다고 하셨다. 에쏘니까 바로 먹고 가기로!
오네로소를 좋아하는 나는 라빤나를 주문했다.
언제나 옳아요 너무 맛있었다! 한잔 더 마실뻔
어디갈까 하다가 바로 앞에 광주 독립영화관이 있어서 가봤다.
건물이 영상복화문화관 건물인듯 했는데 사람이 한명도 없었다..
엘베타고 6층 올라가니 매표소와 상영관이 나왔다
영화 상영 30분 전부터 예매가 가능하다고.. 직원분도 없었다
구경할 게 있나해서 갔는데 딱히.. 영화를 볼게 아니라면 안가도될듯
나와서 어디갈까.. 하다가 에쏘 한잔으로는 성에 안차서 또다른 카페로 향했다 ㅋㅋㅋㅋㅋ 여행가면 꼭 쥑이는 커피가 먹고싶거든요
물고기 커피 로스터스
광주광역시 동구 장동로 34 1층
근처에 찍어둔 로스터리가 있어서 바로 감
직접 로스팅도하시고 드립커피 전문이었다.
커피경연대회에서 대상을 수상한 블렌딩을 주문했다.
사장님 부부가 함께 운영을 하시는듯 했는데 조예가 깊어보이셨다.
드립백도 판매하시길래 시그니처 대상블렌딩과 무등산랩소디를 포함해 여러개 구매했다.. 사장님이 서비스로 하나 더 골라가라고 하심 헷
하나에 2-3천원밖에 안하는 대혜자가격🥺
커피 맛있더라.. 드립백 더 살걸
커피마시면서 더위를 달래고 버스 시간까지 조금 애매해서 이른 저녁을 먹을까 했는데 식당이 거의 다 브레이크타임..😅
그래서 그냥 518 버스를 타고 터미널에 일찍 갔다.. 어떻게 버스 번호가 518 이것또한 운명이라고
광주에 또 창억떡이 그렇게 유명하다고해서 사가려고 찾아봤는데 버스터미널에 있다고해서 미리 안샀다. 소비기한이 당일이라고 하기도해서.. 정말 고속버스 타는 곳 바로 앞에 있더라고
호박인절미 두 팩 구매해서 야무지게 가져왔다네요.
하 근데 진짜 너무 맛있던데..? 더 사올걸 ㅠㅠ
집와서 먹는데 너무 맛있어서 와랄라 다 먹어버렸음
엄청 말랑말랑하다.. 쫀듣하고.. 말랑하고.. 맛있음
맛있는거 많다고 한 건 저번 포스팅인데 어째 처음부터 끝까지 맛있다고 말하는건 이번 포스팅인지 모르겠지만? 너무 재밌었던 광주 2박3일 여행이야기는.. 끝!
가보고싶은데 못가본곳이 너무 많아서 재방문의사 10000%"
